id;student_id;transfer_id;status;created_at;updated_at
1;90997;21788;PENDDING;2022-10-16T08:11:29;2022-10-16T15:29:06
2;2087;85613;ERROR;2022-10-16T18:51:16;2022-10-16T08:16:00
3;19816;49777;FINISHED;2022-10-16T13:15:54;2022-10-16T20:10:34
4;7339;97088;PENDDING;2022-10-16T12:44:59;2022-10-16T20:16:28
5;60210;23257;ERROR;2022-10-16T15:16:05;2022-10-16T21:17:09
6;52242;23674;FINISHED;2022-10-16T14:35:24;2022-10-17T05:54:29
7;21425;3203;FINISHED;2022-10-16T10:24:37;2022-10-16T18:45:06
8;31;82029;ERROR;2022-10-17T02:08:22;2022-10-16T21:11:10
9;73236;11172;CREATED;2022-10-16T12:12:44;2022-10-16T13:11:44
10;55166;87971;FINISHED;2022-10-17T00:46:12;2022-10-16T19:34:09
