id;student_id;lesson_id;transfer_id;status;created_at;updated_at
1;65218;57297;85235;CREATED;2022-10-17T01:38:10;2022-10-17T00:37:43
2;86430;32320;15184;PENDDING;2022-10-16T20:27:12;2022-10-17T06:16:53
3;89234;94315;55902;CREATED;2022-10-17T02:37:36;2022-10-16T12:05:22
4;74773;47466;30348;FINISHED;2022-10-16T12:51:23;2022-10-16T19:06:24
5;5148;79862;75071;ERROR;2022-10-16T17:39:12;2022-10-16T13:15:33
6;83567;10489;88574;PENDDING;2022-10-16T15:25:47;2022-10-16T09:25:40
7;13729;99973;79944;PENDDING;2022-10-16T22:28:28;2022-10-17T06:09:36
8;29319;77772;59283;FINISHED;2022-10-16T09:54:53;2022-10-16T20:04:09
9;56857;17323;59835;FINISHED;2022-10-17T05:44:14;2022-10-17T00:02:25
10;1912;68011;36325;CREATED;2022-10-16T14:29:27;2022-10-16T13:57:35
