id;teacher_id;title;content;price;time;created_at;updated_at
1;77551;emulation Metal HDD;Tuna;46382;64241;2022-10-16T15:14:37;2022-10-16T17:35:50
2;83763;alarm;Vietnam;68873;19845;2022-10-17T07:29:38;2022-10-16T12:46:28
3;51213;Global;Future-proofed Steel Operations;39356;57628;2022-10-17T04:35:44;2022-10-16T13:36:34
4;62854;compressing Handmade;withdrawal invoice;29843;41614;2022-10-17T04:55:02;2022-10-16T20:16:29
5;11884;bottom-line Mountains Handmade;USB;54279;69925;2022-10-16T18:24:08;2022-10-16T15:01:05
6;63151;quantify Garden Producer;e-markets Niue New;81091;4892;2022-10-16T19:54:26;2022-10-17T02:01:28
7;75812;Fantastic payment;Berkshire;82701;60548;2022-10-16T21:41:18;2022-10-17T02:30:32
8;57795;Salad PNG;Bike Optimization;54082;97305;2022-10-16T12:47:49;2022-10-16T09:48:18
9;7928;radical;utilize Dynamic matrix;88394;15889;2022-10-17T02:19:08;2022-10-16T16:36:39
10;88793;Ball Steel;Wooden Versatile;43113;7524;2022-10-16T14:51:02;2022-10-16T21:31:18
