id;student_id;lesson_id;comment;star;created_at;updated_at
1;78962;14850;compressing;FIVE;2022-10-16T14:46:34;2022-10-16T18:52:06
2;81829;87339;XSS Licensed;FOUR;2022-10-16T18:29:46;2022-10-16T23:30:26
3;13358;32034;Dakota Islands Kentucky;ONE;2022-10-17T02:44:57;2022-10-16T18:50:08
4;31247;62099;Home back-end;FOUR;2022-10-16T20:00:23;2022-10-16T20:45:11
5;76352;14722;Tactics;FOUR;2022-10-16T12:19:14;2022-10-16T12:05:15
6;65154;93891;24/7 sky;TWO;2022-10-17T00:40:25;2022-10-16T18:47:20
7;63066;94668;Concrete;FIVE;2022-10-17T02:29:47;2022-10-16T12:16:30
8;3841;35821;Vermont online;TWO;2022-10-16T12:57:07;2022-10-17T05:49:50
9;83328;8549;dynamic infomediaries yellow;ONE;2022-10-16T08:57:02;2022-10-16T18:32:59
10;82455;66236;reintermediate Handmade invoice;FIVE;2022-10-16T22:15:54;2022-10-16T22:40:27
