id;meeting_id;created_by;lesson_id;start_time;end_time;status;created_at;updated_at
1;27942;6223;94637;2022-10-16T23:34:51;2022-10-17T06:10:03;FINISHED;2022-10-16T11:33:44;2022-10-16T08:09:14
2;53348;60491;91154;2022-10-16T16:13:36;2022-10-17T01:46:24;ERROR;2022-10-17T02:11:56;2022-10-17T00:41:57
3;80679;4051;64600;2022-10-16T10:14:37;2022-10-16T08:22:52;FINISHED;2022-10-17T02:39:16;2022-10-16T15:25:06
4;95052;30473;40817;2022-10-16T20:30:48;2022-10-16T16:31:09;ERROR;2022-10-16T13:29:25;2022-10-16T19:20:33
5;60437;54062;69240;2022-10-16T09:16:28;2022-10-17T04:53:16;CREATED;2022-10-16T15:49:45;2022-10-16T21:47:52
6;61657;7918;18009;2022-10-16T13:08:15;2022-10-17T00:35:56;ERROR;2022-10-16T11:01:44;2022-10-17T00:20:45
7;93364;30492;52941;2022-10-16T10:48:57;2022-10-17T00:55:34;CREATED;2022-10-16T10:16:31;2022-10-16T09:32:52
8;14319;73293;35854;2022-10-16T14:08:24;2022-10-16T09:26:51;ERROR;2022-10-17T01:24:29;2022-10-16T12:00:14
9;45951;89480;22396;2022-10-16T17:01:53;2022-10-17T00:33:41;ERROR;2022-10-17T02:25:32;2022-10-16T20:33:33
10;64615;159;40657;2022-10-16T17:42:36;2022-10-16T18:51:59;INPROGRESS;2022-10-16T12:13:17;2022-10-16T18:24:28
